id,job_category,company_name,work_location,job_description,employment_type,salary,working_hours,holidays,age_limit,job_number,disclosure_scope,detail_url,pdf_url,reception_date,expiry_date,salary_num
11,機械設計・回路設計・ソフトウエア設計開発業務,株式会社　タカキタ,三重県名張市,"機械設計　２Ｄキャド、３Ｄキャドによる製品設計、商品企画

回路設計　ＤＣ回路の回路設計全般、",正社員以外,"220,000円〜284,740円 220,000円〜284,740円","（1）
08時30分〜17時10分 08時30分〜17時10分","土日祝他 週休二日制：
毎週 毎週 年間休日数：
124日 124日",不問,24060-00118061,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2406000118061&kJKbn=1&jGSHNo=HsFPmy51jrkdVhtm%2BOJ5hQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2406000118061&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-06 00:00:00,2026-03-31 00:00:00,220000
12,【経験者募集】プロジェクト管理事務／三重,株式会社アリエル,三重県津市,"プロジェクトを円滑に進めるために、進捗・品質・コスト・リソー
スの管理、資料作成、関係者間の調整などを行っていただき、プロ
ジェクト成功に向けた管理・事務業務をお任せします。",正社員,"250,000円〜700,000円 250,000円〜700,000円","（1）
09時00分〜18時00分 09時00分〜18時00分","土日祝他 週休二日制：
毎週 毎週 年間休日数：
125日 125日",不問,13010-00980661,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000980661&kJKbn=1&jGSHNo=nUIMECTlrOCak5dprRyaCQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=1301000980661&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-05 00:00:00,2026-03-31 00:00:00,250000
13,プログラマー【未経験者歓迎！】三重,株式会社アストラ,三重県津市,"システム・ＷＥＢサイト・ソフトウェア等
の開発を個人のレベルに合わせて、始めていきます。
・データ入力",正社員,"200,000円〜700,000円 200,000円〜700,000円","（1）
09時00分〜18時00分 09時00分〜18時00分","土日祝他 週休二日制：
毎週 毎週 年間休日数：
125日 125日",制限あり 〜35歳以下,13120-00083061,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1312000083061&kJKbn=1&jGSHNo=68DJBIdaFeU7UhIYPzh3kQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=1312000083061&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-05 00:00:00,2026-03-31 00:00:00,200000
14,業務系システムのプログラマ／津市,株式会社　ピコ・ナレッジ,三重県津市,"金融系の顧客から依頼を受けた業務系システムの開発です。
プログラマとしてコーディングからテスト工程をお願いします。

",正社員,"200,000円〜350,000円 200,000円〜350,000円","（1）
09時00分〜18時00分 09時00分〜18時00分","土日祝 週休二日制：
毎週 毎週 年間休日数：
123日 123日",制限あり 〜59歳以下,23020-00691961,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2302000691961&kJKbn=1&jGSHNo=hZ4scoP%2Fe9wFNJXbumCRSw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2302000691961&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-05 00:00:00,2026-03-31 00:00:00,200000
15,情報処理,南勢小橋電機株式会社,三重県度会郡南伊勢町,"電気機械器具製造におけるデータの解析や考案・開発などを行って
いただきます。

",正社員,"189,000円〜204,000円 189,000円〜204,000円","（1）
08時15分〜17時20分 08時15分〜17時20分","土日祝他 週休二日制：
毎週 毎週 年間休日数：
115日 115日",制限あり 〜59歳以下,24020-00115961,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2402000115961&kJKbn=1&jGSHNo=i27wuZ%2BMsTfmSmnDdHti7Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2402000115961&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-05 00:00:00,2026-03-31 00:00:00,189000
16,プログラマー（バックエンド）,株式会社　ファースト,三重県鈴鹿市,"ＰＨＰやＪａｖａＳｃｒｉｐｔを使用したＷｅｂアプリケーション
開発、ＨＴＭＬ、ＣＳＳ、ＪａｖａＳｃｒｉｐｔ（ＪＱｕｅｒｙ）
を使用したＷｅｂサイト制作を行うお仕事です。",正社員,"200,000円〜300,000円 200,000円〜300,000円","フレックスタイム制 （1）
09時00分〜18時00分 09時00分〜18時00分","土日祝 週休二日制：
毎週 毎週 年間休日数：
124日 124日",制限あり 〜64歳以下,24090-00100461,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2409000100461&kJKbn=1&jGSHNo=kz4kOqaOmtvWz%2FsQK6BMpw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2409000100461&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-05 00:00:00,2026-03-31 00:00:00,200000
17,システムエンジニア・プログラマー,（事業所の意向により公開していません）,三重県三重郡川越町,"企業向けの業務システムの受託開発において、プログラム開発やシ
ステム設計を担当していただきます。

",正社員,"220,000円〜300,000円 220,000円〜300,000円","（1）
09時00分〜17時30分 09時00分〜17時30分","土日祝他 週休二日制：
毎週 毎週 年間休日数：
130日 130日",制限あり 〜59歳以下,24010-15076951,２．ハローワークの求職者に限定し、事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2401015076951&kJKbn=1&jGSHNo=9sqIdveVcebkO6O9OYo7tQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2401015076951&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2025-12-26 00:00:00,2026-02-28 00:00:00,220000
18,ＮＣタレパンプログラマー（正社員）,株式会社　永南,三重県伊勢市,"・ＮＣパンチングプレスのプログラム作成とデータ入力を行ってい
　ただきます。
・図面の見方、プログラムの作成、データの入力の仕方から丁寧に",正社員,"186,588円〜186,588円 186,588円〜186,588円","変形労働時間制 （1）
08時15分〜17時15分 08時15分〜17時15分","土日他 週休二日制：
その他 その他 年間休日数：
109日 109日",制限あり 〜44歳以下,24020-08615851,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2402008615851&kJKbn=1&jGSHNo=BHlH44kiH%2BjDFvJ10GLGxw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2402008615851&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2025-12-22 00:00:00,2026-02-28 00:00:00,186588
19,ＮＣタレパンプログラマー（契約社員）,株式会社　永南,三重県伊勢市,"・ＮＣパンチングプレスのプログラム作成とデータ入力を
　行っていただきます。
・未経験者の方には図面の見方、プログラムの作成、データの",正社員以外,"186,588円〜186,588円 186,588円〜186,588円","変形労働時間制 （1）
08時15分〜17時15分 08時15分〜17時15分","土日他 週休二日制：
その他 その他 年間休日数：
109日 109日",不問,24020-08616651,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2402008616651&kJKbn=1&jGSHNo=BHlH44kiH%2BjDFvJ10GLGxw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2402008616651&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2025-12-22 00:00:00,2026-02-28 00:00:00,186588
20,プログラマー／物作り経験ノウハウにてスキルｕｐ／転勤無,株式会社　アトラス,三重県四日市市,"ー＞　製造業ＤＸ　ソリューション開発
当社は、製造業が盛んな地域に拠点を置いており、製造業向けのシ
ステム開発が多くを占めています。現在は、特定の分野に特化した",正社員,"240,000円〜320,000円 240,000円〜320,000円","（1）
08時30分〜17時30分 08時30分〜17時30分","土日他 週休二日制：
毎週 毎週 年間休日数：
120日 120日",制限あり 〜59歳以下,24010-14614251,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2401014614251&kJKbn=1&jGSHNo=jklaHRyTZmibgQwTHlRQjQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2401014614251&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2025-12-10 00:00:00,2026-02-28 00:00:00,240000
21,システムエンジニア／システム開発を生かしたスキルｕｐ,株式会社　アトラス,三重県四日市市,"ー＞　製造業ＤＸ　ソリューション開発
当社は、製造業が盛んな地域に拠点を置いており、製造業向けのシ
ステム開発が多くを占めています。現在は、特定の分野に特化した",正社員,"280,000円〜370,000円 280,000円〜370,000円","（1）
08時30分〜17時30分 08時30分〜17時30分","土日他 週休二日制：
毎週 毎週 年間休日数：
120日 120日",制限あり 〜59歳以下,24010-14615551,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2401014615551&kJKbn=1&jGSHNo=jklaHRyTZmibgQwTHlRQjQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2401014615551&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2025-12-10 00:00:00,2026-02-28 00:00:00,280000
22,ＷＥＢデザイナー【未経験者歓迎！】三重,株式会社アストラ,三重県津市,"コーディング、デバッグ・更新など運用管理を行います。
・顧客のデザイン意向ヒアリング
・ＨＰのデザイン制作",正社員,"200,000円〜700,000円 200,000円〜700,000円","（1）
09時00分〜18時00分 09時00分〜18時00分","土日祝他 週休二日制：
毎週 毎週 年間休日数：
125日 125日",制限あり 〜35歳以下,13120-25475451,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1312025475451&kJKbn=1&jGSHNo=68DJBIdaFeU7UhIYPzh3kQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=1312025475451&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2025-12-09 00:00:00,2026-02-28 00:00:00,200000
23,検査機作成（ファンクションテスター）,株式会社　志摩電子工業,三重県志摩市,"ファンクションテスター関連業務を行っていただきます
・ファンクションテスターの操作
・回路設計",正社員,"220,000円〜350,000円 220,000円〜350,000円","（1）
08時00分〜17時00分 08時00分〜17時00分","土日他 週休二日制：
毎週 毎週 年間休日数：
122日 122日",制限あり 〜59歳以下,24020-08400951,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2402008400951&kJKbn=1&jGSHNo=pEuu2Z8qetrPy9WYeaC5rw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2402008400951&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2025-12-05 00:00:00,2026-02-28 00:00:00,220000
24,木工ＮＣオペレーター・木工加工,伊藤産業　株式会社,三重県桑名市,"学校・オフィス・ホテルなどで使われる机やテーブルを製作してい
るメーカーです。工場は木工加工工場となり、作業内容は主にテー
ブルの板を加工する際に使用するＮＣルーター加工のプログラマー",正社員,"200,000円〜280,000円 200,000円〜280,000円","変形労働時間制 （1）
08時00分〜17時00分 08時00分〜17時00分 （2）
08時00分〜17時55分 08時00分〜17時55分","日祝他 週休二日制：
その他 その他 年間休日数：
109日 109日",制限あり 〜59歳以下,24050-07303951,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2405007303951&kJKbn=1&jGSHNo=LAaRCIkzdaMKjzlZv1I%2FRQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2405007303951&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2025-12-04 00:00:00,2026-02-28 00:00:00,200000
25,【未経験者／研修充実】プログラマー（四日市オフィス）,株式会社マーブル　名古屋支社,三重県四日市市,"未経験でも安心してご応募いただけるよう、ＩＴの基礎やプログラ
ミングなどの研修がございます。

",正社員,"213,000円〜250,100円 213,000円〜250,100円","（1）
09時00分〜18時00分 09時00分〜18時00分","土日祝他 週休二日制：
毎週 毎週 年間休日数：
122日 122日",制限あり 〜29歳以下,23020-82860851,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2302082860851&kJKbn=1&jGSHNo=%2F%2FRA2dtMn5C8VU1Bvf3EGA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2302082860851&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2025-12-03 00:00:00,2026-02-28 00:00:00,213000
26,プログラマー（未経験者）,株式会社　オフィスＡ,三重県松阪市,"・各種アプリケーションの開発、プログラミング、テスト、保守等
・ＬＡＮ環境のメンテナンス
・ＰＣのセットアップ",正社員,"180,000円〜216,000円 180,000円〜216,000円","（1）
09時00分〜18時00分 09時00分〜18時00分","土日祝他 週休二日制：
毎週 毎週 年間休日数：
123日 123日",制限あり 〜28歳以下,24040-08615251,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2404008615251&kJKbn=1&jGSHNo=UrICoLqS9qRAlKuaGcMj2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2404008615251&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2025-12-03 00:00:00,2026-02-28 00:00:00,180000
